,index,budget,genres,original_language,production_companies,release_date,revenue,runtime,title,budget_revenue_ratio
3935,3935,0,Comedy Drama,en,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""RT Features"", ""id"": 30666}, {""name"": ""Pine District Pictures"", ""id"": 88533}]",2013-05-17,4069826,86.0,Frances Ha,inf
3278,3278,0,Drama,en,"[{""name"": ""Intandem Films"", ""id"": 2731}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""Number 9 Films"", ""id"": 34338}, {""name"": ""Tiger Aspect Pictures"", ""id"": 36201}, {""name"": ""Father Features"", ""id"": 36204}, {""name"": ""Audley Films"", ""id"": 36205}, {""name"": ""Comptom Investments"", ""id"": 36206}]",2007-10-05,92,92.0,When Did You Last See Your Father?,inf
3270,3270,0,Drama Romance,en,"[{""name"": ""Merchant Ivory Productions"", ""id"": 2370}, {""name"": ""The Criterion Collection"", ""id"": 10932}]",1992-03-13,25966555,140.0,Howards End,inf
3262,3262,0,Comedy Drama Romance,en,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}]",2013-09-18,25288872,93.0,Enough Said,inf
1942,1942,0,Fantasy Family,en,"[{""name"": ""Reel FX Creative Studios"", ""id"": 2787}]",2012-11-09,34153101,91.0,Cirque du Soleil: Worlds Away,inf
4360,4360,0,Drama Thriller,en,"[{""name"": ""Cunningham & Maybach Films"", ""id"": 10056}, {""name"": ""FilmHaven Entertainment"", ""id"": 10057}, {""name"": ""BorderLine Films"", ""id"": 10058}, {""name"": ""This Is That Productions"", ""id"": 10059}]",2011-10-21,3538446,101.0,Martha Marcy May Marlene,inf
1910,1910,0,Action Comedy,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",2007-08-03,14334401,88.0,Hot Rod,inf
4359,4359,0,Drama,en,"[{""name"": ""Duplass Brothers Productions"", ""id"": 1974}, {""name"": ""Venture Forth"", ""id"": 20313}]",2014-01-18,5284309,90.0,The Skeleton Twins,inf
1922,1922,0,War Drama History,en,"[{""name"": ""TriStar Television"", ""id"": 8609}, {""name"": ""Esparza / Katz Productions"", ""id"": 26560}]",1993-10-08,25000000,254.0,Gettysburg,inf
4357,4357,0,Drama,en,[],2011-10-30,5355847,107.0,October Baby,inf
3233,3233,0,Adventure Comedy Family,en,"[{""name"": ""Incorporated Television Company"", ""id"": 1155}, {""name"": ""Henson Associates (HA)"", ""id"": 24931}]",1979-05-31,76657000,97.0,The Muppet Movie,inf
4273,4273,0,Drama,en,[],2000-05-05,619042,105.0,The Basket,inf
3058,3058,0,Horror Thriller,en,"[{""name"": ""Fortress Features"", ""id"": 5176}, {""name"": ""LD Entertainment"", ""id"": 10285}]",2012-09-21,6842058,94.0,The Collection,inf
3056,3056,0,Comedy,en,"[{""name"": ""Ad Hominem Enterprises"", ""id"": 2361}]",2011-02-11,6861102,87.0,Cedar Rapids,inf
2565,2565,0,Action Comedy Thriller Romance,en,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Roger Birnbaum Productions"", ""id"": 961}]",1997-04-11,28084357,107.0,Grosse Pointe Blank,inf
2856,2856,0,Comedy Drama Romance,en,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Flavor Unit Entertainment"", ""id"": 5677}]",2010-05-14,21520719,100.0,Just Wright,inf
2854,2854,0,Comedy Romance,en,"[{""name"": ""Island Pictures"", ""id"": 3492}, {""name"": ""Def Pictures"", ""id"": 38799}]",1997-08-06,13960203,93.0,Def Jam's How to Be a Player,inf
2848,2848,0,Comedy,en,[],2004-01-09,51,86.0,My Baby's Daddy,inf
2840,2840,0,Drama Comedy,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""IAC Film"", ""id"": 10351}, {""name"": ""Jax Media"", ""id"": 24021}]",2014-12-12,25434291,102.0,Top Five,inf
359,359,0,Adventure Animation Comedy Family,en,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Bagdasarian Productions"", ""id"": 10930}, {""name"": ""TSG Entertainment"", ""id"": 22213}]",2015-12-17,233755553,92.0,Alvin and the Chipmunks: The Road Chip,inf
2835,2835,0,Comedy Family Fantasy Drama,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jim Henson Company, The"", ""id"": 6254}]",1992-12-10,27281507,85.0,The Muppet Christmas Carol,inf
4180,4180,0,Comedy Documentary,en,"[{""name"": ""Snoot Entertainment"", ""id"": 15159}]",2011-04-22,621951,87.0,The Greatest Movie Ever Sold,inf
2862,2862,0,Comedy Drama Science Fiction,en,"[{""name"": ""Working Title Films"", ""id"": 10163}, {""name"": ""Translux"", ""id"": 14384}]",2013-08-16,87100449,123.0,About Time,inf
4167,4167,0,Thriller Documentary Crime History,en,"[{""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Red Box Films"", ""id"": 12840}, {""name"": ""Discovery Films"", ""id"": 21673}, {""name"": ""BBC Storyville"", ""id"": 50510}, {""name"": ""Wall to Wall"", ""id"": 50511}]",2008-07-25,2957978,94.0,Man on Wire,inf
