,index,budget,genres,original_language,production_companies,release_date,revenue,runtime,title,budget_revenue_ratio
1717,1717,28000000,Romance,en,"[{""name"": ""Temple Hill Productions"", ""id"": 722}, {""name"": ""Relativity Media"", ""id"": 7295}]",2013-02-07,97594140,115.0,Safe Haven,3.485505
2755,2755,13000000,Family Adventure Science Fiction,en,"[{""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Panay Films"", ""id"": 10426}]",2014-06-14,45300000,89.0,Earth to Echo,3.4846153846153847
1846,1846,26000000,Comedy,en,"[{""name"": ""Apatow Productions"", ""id"": 10105}]",2004-07-09,90574188,94.0,Anchorman: The Legend of Ron Burgundy,3.4836226153846153
677,677,62000000,Action Drama Thriller,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}]",1994-08-03,215887717,141.0,Clear and Present Danger,3.482059951612903
2337,2337,18000000,Romance Music Family,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""NuAmerica Entertainment"", ""id"": 41963}]",2003-11-24,62646763,94.0,Honey,3.480375722222222
3313,3313,7500000,Drama Romance,en,"[{""name"": ""BBC Films"", ""id"": 288}]",2009-10-29,26096852,100.0,An Education,3.479580266666667
1789,1789,26000000,Horror Mystery,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Zide-Perry Productions"", ""id"": 3169}]",2003-01-31,90426405,90.0,Final Destination 2,3.4779386538461536
441,441,75000000,Animation Comedy Family Science Fiction,en,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",2005-03-10,260696994,91.0,Robots,3.47595992
291,291,100000000,Adventure Action Thriller Mystery,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Saturn Films"", ""id"": 831}, {""name"": ""Junction Entertainment"", ""id"": 19097}]",2004-11-19,347451894,131.0,National Treasure,3.47451894
906,906,50000000,Comedy,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Apatow Productions"", ""id"": 10105}]",2013-12-18,173649015,119.0,Anchorman 2: The Legend Continues,3.4729803
3913,3913,3000000,Drama,en,"[{""name"": ""United Artists"", ""id"": 60}]",1960-06-19,10400000,146.0,Elmer Gantry,3.466666666666667
1981,1981,24000000,Comedy Horror,en,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Chako Film Company"", ""id"": 7332}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Intellectual Properties Worldwide"", ""id"": 18524}, {""name"": ""Aja / Levasseur Productions"", ""id"": 22596}]",2010-08-20,83188165,88.0,Piranha 3D,3.4661735416666666
2930,2930,11000000,Adventure,en,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}]",2008-09-17,38105395,114.0,The Secret Life of Bees,3.464126818181818
218,218,120000000,Action Thriller,en,"[{""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Captivate Entertainment"", ""id"": 25716}, {""name"": ""Pearl Street Films"", ""id"": 29313}, {""name"": ""Double Negative"", ""id"": 31922}, {""name"": ""Perfect World (Beijing) Pictures Co."", ""id"": 83871}]",2016-07-27,415484914,123.0,Jason Bourne,3.4623742833333333
232,232,120000000,Action Science Fiction Adventure Fantasy,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""Big Screen Productions"", ""id"": 10893}, {""name"": ""TSG Entertainment"", ""id"": 22213}]",2013-07-23,415440673,126.0,The Wolverine,3.4620056083333335
1182,1182,40000000,Comedy Crime,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Firm Films"", ""id"": 1838}, {""name"": ""Deep River Productions"", ""id"": 2646}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Ed Friendly Productions"", ""id"": 47635}, {""name"": ""Runteldat Entertainment"", ""id"": 73956}, {""name"": ""Big Lou House Productions"", ""id"": 79036}]",2006-01-26,138259062,99.0,Big Momma's House 2,3.45647655
1770,1770,27000000,Thriller,en,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Sony Pictures Releasing"", ""id"": 3045}, {""name"": ""Smokehouse Pictures"", ""id"": 22695}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Allegiance Theater"", ""id"": 54454}]",2016-05-12,93282604,98.0,Money Monster,3.4549112592592595
5,5,258000000,Fantasy Action Adventure,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,890871626,139.0,Spider-Man 3,3.4529907984496124
2326,2326,21000000,Family Comedy,en,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Color Force"", ""id"": 5420}]",2011-03-25,72417394,99.0,Diary of a Wimpy Kid: Rodrick Rules,3.448447333333333
1792,1792,25000000,Thriller Crime Action,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""De Line Pictures"", ""id"": 2609}]",2013-04-18,86175291,130.0,Pain & Gain,3.44701164
512,512,75000000,Action Thriller Crime,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Bazelevs Production"", ""id"": 1038}, {""name"": ""Kickstart Productions"", ""id"": 2526}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Top Cow Productions"", ""id"": 2528}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Ringerike Zweite Filmproduktion"", ""id"": 23955}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2008-06-19,258270008,110.0,Wanted,3.4436001066666666
2736,2736,13000000,Crime Action Adventure Drama Western,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]",1988-08-12,44726644,107.0,Young Guns,3.440511076923077
4041,4041,2380000,Drama Crime,en,"[{""name"": ""EM Media"", ""id"": 1917}, {""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Screen Yorkshire"", ""id"": 2690}, {""name"": ""Big Arty Productions"", ""id"": 3519}]",2006-09-12,8176544,101.0,This Is England,3.43552268907563
1720,1720,28000000,Action Crime,en,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Marv Films"", ""id"": 5374}]",2010-03-22,96188903,117.0,Kick-Ass,3.4353179642857143
2989,2989,12000000,Comedy,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Brillstein-Grey Entertainment"", ""id"": 1606}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}]",1996-02-16,41205099,92.0,Happy Gilmore,3.43375825
424,424,80000000,Thriller Adventure Action,en,"[{""name"": ""Millennium Films"", ""id"": 10254}]",2010-08-03,274470394,103.0,The Expendables,3.430879925
1405,1405,35000000,Drama War,en,"[{""name"": ""Bac Films"", ""id"": 208}, {""name"": ""Canal+Polska"", ""id"": 250}, {""name"": ""Heritage Films"", ""id"": 260}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Agencja Produkcji Filmowej"", ""id"": 266}, {""name"": ""Beverly Detroit"", ""id"": 267}, {""name"": ""FilmFernsehFonds Bayern"", ""id"": 268}, {""name"": ""Filmboard Berlin-Brandenburg (FBB)"", ""id"": 269}, {""name"": ""Mainstream S.A."", ""id"": 271}, {""name"": ""R.P. Productions"", ""id"": 355}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Filmf\u00f6rderungsanstalt (FFA)"", ""id"": 4247}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Interscope Communications"", ""id"": 10201}, {""name"": ""Telewizja Polska (TVP)"", ""id"": 19150}, {""name"": ""Runteam"", ""id"": 31087}]",2002-09-24,120072577,150.0,The Pianist,3.4306450571428573
739,739,60000000,Action Crime Thriller,en,"[{""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""LHF Film"", ""id"": 73045}, {""name"": ""Gerard Butler Alan Siegel Entertainment"", ""id"": 73046}, {""name"": ""Nu Boyana Film Studios"", ""id"": 74795}]",2016-03-02,205754447,99.0,London Has Fallen,3.4292407833333334
573,573,70000000,Action Thriller,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Gordon Company"", ""id"": 1073}, {""name"": ""Silver Pictures"", ""id"": 1885}]",1990-07-02,240031094,124.0,Die Hard 2,3.4290156285714284
3833,3833,3500000,Action Drama Thriller Crime Mystery,en,"[{""name"": ""Warner Bros."", ""id"": 6194}]",1966-02-23,12000000,121.0,Harper,3.4285714285714284
1638,1638,30000000,Drama Comedy Romance,en,"[{""name"": ""Bedford Falls Productions"", ""id"": 348}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Stuber Productions"", ""id"": 4403}, {""name"": ""New Regency Pictures"", ""id"": 10104}]",2010-11-22,102820008,112.0,Love & Other Drugs,3.4273336
907,907,50000000,Comedy Romance,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Out of the Blue... Entertainment"", ""id"": 879}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]",2002-06-28,171269535,96.0,Mr. Deeds,3.4253907
3243,3243,8000000,Comedy Romance,en,[],2002-10-05,27362712,109.0,Brown Sugar,3.420339
875,875,52500000,Drama Music Romance,en,"[{""name"": ""Bazmark Films"", ""id"": 240}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",2001-03-09,179213434,127.0,Moulin Rouge!,3.413589219047619
709,709,60000000,Drama,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Red Om Films"", ""id"": 2455}, {""name"": ""Plan B Entertainment"", ""id"": 45778}]",2010-08-12,204594016,133.0,Eat Pray Love,3.4099002666666665
835,835,55000000,Comedy Family,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]",2011-06-17,187361754,94.0,Mr. Popper's Penguins,3.4065773454545454
2831,2831,12000000,Horror Science Fiction Thriller,en,"[{""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Screen Gems"", ""id"": 3287}, {""name"": ""Andale Pictures"", ""id"": 22791}]",2008-10-10,40855419,89.0,Quarantine,3.40461825
2396,2396,15000000,Animation Comedy Family,en,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Kanbar Entertainment"", ""id"": 7580}, {""name"": ""Blue Yonder Films"", ""id"": 49126}]",2005-12-16,51053787,80.0,Hoodwinked!,3.4035858
1190,1190,50000000,Drama Romance Comedy,en,"[{""name"": ""Miramax Films"", ""id"": 14}]",2004-10-15,170128460,107.0,Shall We Dance?,3.4025692
1710,1710,21000000,Comedy Drama,en,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]",2001-10-05,71441250,110.0,The Royal Tenenbaums,3.4019642857142856
1104,1104,40000000,Action,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Madhouse Entertainment"", ""id"": 12199}]",2010-03-16,136000000,110.0,The Bounty Hunter,3.4
3458,3458,6000000,Western,en,"[{""name"": ""The Selznik Studio"", ""id"": 62}, {""name"": ""Vanguard Films"", ""id"": 614}]",1946-12-31,20400000,144.0,Duel in the Sun,3.4
1747,1747,8000000,Drama Adventure History,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""EMI Films Ltd."", ""id"": 538}, {""name"": ""Thorn EMI Screen Entertainment"", ""id"": 6179}, {""name"": ""Home Box Office"", ""id"": 6752}]",1984-12-14,27187653,163.0,A Passage to India,3.398456625
400,400,85000000,Adventure Action Science Fiction,en,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]",2014-03-14,288747895,139.0,Divergent,3.3970340588235293
520,520,80000000,Comedy,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Relativity Media"", ""id"": 7295}]",2010-06-24,271430189,102.0,Grown Ups,3.3928773625
1701,1701,29000000,Action,en,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Troublemaker Studios"", ""id"": 10807}]",2003-09-11,98185582,102.0,Once Upon a Time in Mexico,3.3857097241379313
352,352,90000000,Animation Family Adventure,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]",1998-06-18,304320254,88.0,Mulan,3.3813361555555557
4202,4202,1600000,Western,en,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}]",1949-10-22,5400000,103.0,She Wore a Yellow Ribbon,3.375
2456,2456,16000000,Drama,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",1982-12-08,53977250,129.0,The Verdict,3.373578125
3012,3012,10000000,Crime Drama,en,"[{""name"": ""American Zoetrope"", ""id"": 70}, {""name"": ""Warner Bros."", ""id"": 6194}]",1983-03-25,33697647,91.0,The Outsiders,3.3697647
1536,1536,31000000,Comedy,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""David Dobkin Productions"", ""id"": 53060}]",2015-07-28,104384188,99.0,Vacation,3.367231870967742
299,299,100000000,Action Crime Fantasy,en,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Polygram Filmed Entertainment"", ""id"": 31080}]",1995-05-31,336529144,121.0,Batman Forever,3.36529144
2145,2145,20000000,Crime Drama Mystery,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Mandalay Entertainment"", ""id"": 1236}]",1998-03-20,67200000,108.0,Wild Things,3.36
2117,2117,20000000,Thriller Horror Drama Mystery,en,"[{""name"": ""Ghost House Pictures"", ""id"": 768}, {""name"": ""Senator International"", ""id"": 830}, {""name"": ""Screen Gems"", ""id"": 3287}, {""name"": ""Pacific Renaissance Pictures Ltd."", ""id"": 7893}]",2005-02-04,67192859,89.0,Boogeyman,3.35964295
1224,1224,47000000,Horror Mystery,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Practical Pictures"", ""id"": 48788}, {""name"": ""Parallel Zide"", ""id"": 48792}]",2011-08-12,157887643,92.0,Final Destination 5,3.3593115531914894
2412,2412,17000000,Action Comedy Crime Thriller,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Scion Films"", ""id"": 7419}, {""name"": ""Working Title Films"", ""id"": 10163}]",2006-12-09,57103895,109.0,Smokin' Aces,3.3590526470588236
2998,2998,10000000,Horror Mystery Thriller,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Night Chronicles"", ""id"": 6006}, {""name"": ""Relativity Media"", ""id"": 7295}]",2010-01-13,33583175,80.0,Devil,3.3583175
3822,3822,4000000,Comedy Drama,en,"[{""name"": ""DNA Films"", ""id"": 284}, {""name"": ""BBC Films"", ""id"": 288}, {""name"": ""UK Film Council"", ""id"": 2452}]",2006-10-02,13401952,109.0,The History Boys,3.350488
714,714,65000000,Drama Crime Thriller,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}, {""name"": ""Edge City"", ""id"": 11463}]",2004-08-04,217764291,120.0,Collateral,3.3502198615384615
1698,1698,30000000,Animation Family,en,"[{""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Paramount Animation"", ""id"": 24955}]",1998-11-20,100491683,79.0,The Rugrats Movie,3.3497227666666665
49,49,105000000,Drama Romance,en,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Bazmark Films"", ""id"": 240}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""A&E Television Networks"", ""id"": 11858}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Spectrum Films"", ""id"": 14604}]",2013-05-10,351040419,143.0,The Great Gatsby,3.3432420857142855
1364,1364,35000000,Comedy Crime,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Rat Entertainment"", ""id"": 12007}]",2011-07-08,117000000,98.0,Horrible Bosses,3.342857142857143
2739,2739,16000000,Comedy Romance Drama,en,"[{""name"": ""Mad Chance"", ""id"": 1757}, {""name"": ""Jaret Entertainment"", ""id"": 1783}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",1999-03-30,53478166,97.0,10 Things I Hate About You,3.342385375
1567,1567,35000000,Horror Comedy Romance,en,"[{""name"": ""Summit Entertainment"", ""id"": 491}]",2013-01-31,116980662,97.0,Warm Bodies,3.3423046285714286
2115,2115,20000000,History Drama,en,"[{""name"": ""Plan B Entertainment"", ""id"": 81}, {""name"": ""Harpo Films"", ""id"": 3298}, {""name"": ""Celador Films"", ""id"": 3573}, {""name"": ""Cloud Eight Films"", ""id"": 6708}, {""name"": ""Path\u00e9"", ""id"": 7981}]",2014-12-25,66787908,127.0,Selma,3.3393954
438,438,80000000,Drama Comedy Romance,en,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Waverly Films"", ""id"": 735}, {""name"": ""Warner Bros."", ""id"": 6194}]",2003-12-12,266728738,128.0,Something's Gotta Give,3.334109225
3914,3914,3000000,Drama History,en,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Roxlom Films"", ""id"": 526}]",1961-12-01,10000000,186.0,Judgment at Nuremberg,3.3333333333333335
2536,2536,15000000,Drama War,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""EMI Films Ltd."", ""id"": 538}]",1978-12-08,50000000,183.0,The Deer Hunter,3.3333333333333335
2323,2323,23000000,Drama Comedy Crime,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Triptych Pictures"", ""id"": 14722}, {""name"": ""Dimension Films (US version)"", ""id"": 71989}]",2003-11-26,76488889,91.0,Bad Santa,3.3256038695652173
884,884,40000000,Thriller Drama History,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""First Light Production"", ""id"": 20344}]",2012-12-19,132820716,157.0,Zero Dark Thirty,3.3205179
337,337,92000000,Action Thriller,en,"[{""name"": ""Ingenious Media"", ""id"": 290}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Mid Atlantic Films"", ""id"": 2735}, {""name"": ""Big Screen Productions"", ""id"": 10893}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Giant Pictures"", ""id"": 34396}, {""name"": ""Origo Film Group"", ""id"": 34397}]",2013-02-06,304654182,98.0,A Good Day to Die Hard,3.3114585
258,258,105000000,Fantasy Family Comedy Animation,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""NeoReel"", ""id"": 24097}]",2013-07-30,347434178,105.0,The Smurfs 2,3.308896933333333
545,545,75000000,Science Fiction Thriller Drama,en,"[{""name"": ""Limited Edition Productions Inc."", ""id"": 3683}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}, {""name"": ""Barry Mendel Productions"", ""id"": 17032}]",2000-11-13,248118121,106.0,Unbreakable,3.308241613333333
1719,1719,28000000,Comedy,en,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Storefront Pictures"", ""id"": 7747}, {""name"": ""WV Films III"", ""id"": 12202}]",2007-07-25,92601050,104.0,No Reservations,3.3071803571428573
2822,2822,12000000,Comedy Crime Romance,en,"[{""name"": ""Miramax Films"", ""id"": 14}]",1997-12-24,39673162,154.0,Jackie Brown,3.306096833333333
3064,3064,10000000,Comedy Romance,en,"[{""name"": ""Entertainment Films"", ""id"": 2245}, {""name"": ""Material Entertainment"", ""id"": 2246}, {""name"": ""Beech Hill Films"", ""id"": 6847}]",2007-09-06,33000000,100.0,"Run, Fatboy, Run",3.3
1703,1703,28000000,Comedy,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Internationale Filmproduktion Stella-del-S\u00fcd"", ""id"": 3075}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""WideAwake"", ""id"": 28787}, {""name"": ""Stuber/Parent"", ""id"": 67334}]",2008-02-03,92380927,99.0,Role Models,3.2993188214285714
1809,1809,25000000,Drama Mystery Thriller,en,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Scion Films"", ""id"": 7419}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Blue Sky Films"", ""id"": 33680}, {""name"": ""Potboiler Productions"", ""id"": 36615}]",2005-08-31,82466670,129.0,The Constant Gardener,3.2986668
1070,1070,45000000,Horror Action Science Fiction,en,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Resident Evil Productions"", ""id"": 58249}]",2007-09-20,148412065,94.0,Resident Evil: Extinction,3.298045888888889
1748,1748,15000000,Drama Romance,en,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""DNA Films"", ""id"": 284}, {""name"": ""BBC Films"", ""id"": 288}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""UK Film Council"", ""id"": 2452}]",2006-12-25,49469904,92.0,Notes on a Scandal,3.2979936
247,247,110000000,Thriller Crime,en,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films III"", ""id"": 12202}]",2004-12-09,362744280,125.0,Ocean's Twelve,3.2976752727272727
282,282,115000000,Action Thriller,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",1994-07-14,378882411,141.0,True Lies,3.2946296608695653
414,414,84000000,Mystery Adventure Comedy,en,"[{""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Warner Bros."", ""id"": 6194}]",2002-06-14,275650703,88.0,Scooby-Doo,3.281555988095238
2154,2154,20000000,Action Crime Drama Thriller,en,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""Emmett/Furla Films"", ""id"": 10405}]",2008-04-10,65569869,109.0,Street Kings,3.27849345
2130,2130,20000000,Crime Drama Thriller,en,"[{""name"": ""This Is That Productions"", ""id"": 10059}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Twins Financing"", ""id"": 20899}, {""name"": ""Smokehouse Pictures"", ""id"": 22695}, {""name"": ""Greenlit Rights"", ""id"": 72503}]",2010-08-31,65464324,104.0,The American,3.2732162
2538,2538,17000000,Family Comedy,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Teen Life Productions"", ""id"": 89603}]",2003-04-25,55534455,94.0,The Lizzie McGuire Movie,3.2667326470588236
156,156,140000000,Drama Action War History,en,"[{""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Radar Pictures"", ""id"": 14718}, {""name"": ""Bedford Falls Company, The"", ""id"": 20634}]",2003-12-05,456758981,154.0,The Last Samurai,3.26256415
1034,1034,46000000,Science Fiction Action Adventure Thriller,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Digital Image Associates"", ""id"": 76068}]",1996-11-21,150000000,111.0,Star Trek: First Contact,3.260869565217391
3477,3477,6000000,Action Comedy Thriller Crime,en,"[{""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Crescendo Productions"", ""id"": 3314}, {""name"": ""Element Pictures"", ""id"": 3353}, {""name"": ""Irish Film Board"", ""id"": 5267}, {""name"": ""Prescience"", ""id"": 6901}, {""name"": ""Reprisal Films"", ""id"": 7308}, {""name"": ""Aegis Film Fund"", ""id"": 7309}]",2011-07-07,19560274,96.0,The Guard,3.2600456666666666
641,641,65000000,Comedy Drama,en,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Green Hat Films"", ""id"": 3527}, {""name"": ""Warner Bros."", ""id"": 6194}]",2010-11-04,211780824,95.0,Due Date,3.2581665230769232
3247,3247,8000000,Comedy Romance,en,"[{""name"": ""Treehouse Pictures"", ""id"": 14580}]",2014-01-29,26049082,94.0,That Awkward Moment,3.25613525
3749,3749,4000000,Action Horror Science Fiction Thriller,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Alive Films"", ""id"": 17823}, {""name"": ""Larry Franco Productions"", ""id"": 17824}]",1988-11-23,13008928,94.0,They Live,3.252232
2151,2151,20000000,Thriller Crime Drama,en,"[{""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Omnilab Media"", ""id"": 2729}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Skyline (Baker St)"", ""id"": 37774}]",2008-02-28,64822796,112.0,The Bank Job,3.2411398
1377,1377,35000000,Science Fiction Horror Action,en,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",1995-07-07,113374103,108.0,Species,3.2392600857142857
1168,1168,40000000,Romance Drama,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Easy There Tiger Productions"", ""id"": 11804}]",2009-08-06,129540499,123.0,Julie & Julia,3.238512475
